segments,from_plain_text
journal,True
thomsonreuters,True
SoK,True
Visit,True
golf,True
brookings,True
choice,True
taO,True
51,True
Keto,True
RyE,True
wiR,True
WAT,True
yAr,True
Bra,True
FIB,True
hUNg,True
62,True
pET,True
reorders,True
Saved,True
aSS,True
zoA,True
twa,True
AD,True
pAl,True
INSTANT,True
diTe,True
VERI,True
SoN,True
with,True
dupe,True
alF,True
CD,True
MUID,True
Pua,True
fan,True
Existing,True
hAg,True
now,True
Yer,True
style,True
mY,True
Ni,True
ilL,True
ming,True
Hup,True
laM,True
cLv,True
Next,True
toA,True
Nether,True
ASE,True
continent,True
wey,True
ma,True
weR,True
hYP,True
iYO,True
jut,True
Groups,True
PAD,True
PIt,True
gay,True
lAD,True
Ach,True
kiln,True
all,True
oracle,True
Price,True
js,True
pRef,True
kOR,True
Sari,True
ewe,True
PoND,True
Long,True
Zar,True
BAY,True
OLD,True
dAk,True
vei,True
bAS,True
susi,True
COP,True
zA,True
APP,True
SAA,True
30,True
FLARE,True
HOw,True
ALP,True
na,True
duD,True
shE,True
restricted,True
unknown,True
noN,True
eU,True
tEER,True
neb,True
Bed,True
pUb,True
ZAd,True
HO,True
ura,True
gEy,True
WEr,True
PRIVACY,True
login,True
Xp,True
who,True
HAy,True
cOz,True
teZ,True
caiman,True
FOe,True
cnbc,True
goodhousekeeping,True
wid,True
NIB,True
Poy,True
tal,True
UG,True
Key,True
quant,True
hIT,True
DOD,True
Anon,True
Sec,True
cL,True
Wo,True
lAm,True
mEW,True
gif,True
GOOGLE,True
Che,True
fr,True
STATELESS,True
XP,True
FA,True
code,True
lYs,True
aDe,True
guY,True
dIb,True
DuB,True
apnews,True
doR,True
koP,True
fastcompany,True
distinct,True
iframe,True
lUX,True
YEw,True
AAl,True
tEe,True
DA,True
fAt,True
fandom,True
UMe,True
hERd,True
YOR,True
fRO,True
GiE,True
tenant,True
Obi,True
prominence,True
180,True
BENA,True
VUg,True
FE,True
alert,True
PET,True
ger,True
tai,True
referral,True
biEn,True
neighborhood,True
cox,True
uRA,True
scope,True
MOu,True
dIp,True
ur,True
Do,True
HeM,True
heavy,True
van,True
tRi,True
Pi,True
YoM,True
Ra,True
nejm,True
sRC,True
bAT,True
Lev,True
CiG,True
xi,True
TURB,True
zz,True
proto,True
fib,True
N4,True
YAs,True
rUn,True
Tab,True
sPy,True
meta,True
Tod,True
EgO,True
foy,True
ouT,True
gal,True
kyL,True
Cx,True
19,True
center,True
REE,True
NEW,True
DAE,True
2K,True
MAe,True
yes,True
OlD,True
node,True
Safari,True
suid,True
SaO,True
web,True
Am,True
v5,True
canva,True
DOp,True
koU,True
toy,True
info,True
fly,True
rot,True
perform,True
wHeE,True
personalize,True
91,True
gOy,True
WUp,True
variant,True
psT,True
sOW,True
FRy,True
mau,True
DiT,True
BEs,True
LEk,True
iS,True
Set,True
sap,True
fEu,True
qua,True
die,True
leg,True
wiS,True
gIb,True
wud,True
Button,True
yUh,True
semantic,True
YAn,True
tOlT,True
pSI,True
Central,True
ONS,True
edit,True
PASSWORD,True
live,True
luX,True
Segment,True
jS,True
big,True
gER,True
raw,True
lug,True
Account,True
woPS,True
dis,True
dip,True
AIm,True
SIt,True
Yr,True
145,True
DELETE,True
tABU,True
gAd,True
Pad,True
PuL,True
usage,True
Nee,True
yUH,True
Bor,True
hOw,True
per,True
pOY,True
Headline,True
Desk,True
pega,True
yew,True
KHU,True
PyIn,True
surfer,True
nID,True
summary,True
ho,True
experience,True
Apple,True
Au,True
Persist,True
yEp,True
links,True
shown,True
show,True
ILX,True
ask,True
mala,True
jEep,True
usgs,True
Di,True
naV,True
gut,True
IFe,True
45,True
dor,True
adobe,True
Consumer,True
De,True
81,True
hOT,True
eu,True
MaD,True
TEa,True
SOL,True
interact,True
doc,True
fAR,True
cUR,True
FiG,True
dO,True
preferences,True
tapa,True
sok,True
wow,True
GOy,True
triple,True
roll,True
KeB,True
SHy,True
Ay,True
PPC,True
cha,True
hEt,True
DLl,True
oSE,True
Flog,True
fabric,True
peE,True
CaL,True
cancer,True
yeN,True
BUY,True
amI,True
WRo,True
LAM,True
Group,True
iN,True
aLTeR,True
KeA,True
tRI,True
permanent,True
WaRK,True
ton,True
expire,True
110,True
uMU,True
Mojo,True
TOE,True
Om,True
SUN,True
Direct,True
TUp,True
tAW,True
United,True
AWA,True
Removed,True
EeL,True
OIme,True
pOH,True
cuR,True
statcounter,True
mOY,True
paD,True
ach,True
addA,True
temp,True
hash,True
agA,True
strictly,True
Hap,True
nON,True
Package,True
square,True
,True
DEAR,True
City,True
sIb,True
SkI,True
Production,True
nEe,True
Views,True
volume,True
BUn,True
Swa,True
analytical,True
Hen,True
bae,True
EXISTING,True
oD,True
Sir,True
features,True
GEE,True
PageFul,True
BOp,True
EX,True
tri,True
Ser,True
wer,True
st,True
ZAg,True
SuE,True
beta,True
buY,True
IS,True
TUN,True
vendor,True
unruly,True
HoiN,True
sauT,True
Teju,True
hAcK,True
WOg,True
Lat,True
Mum,True
jIb,True
CREATIVE,True
entry,True
35,True
Times,True
tOg,True
BAUl,True
ZAk,True
OAR,True
kiBe,True
Shi,True
bRA,True
lytic,True
Ged,True
not,True
bOY,True
EH,True
SCAt,True
RiP,True
Lye,True
AR,True
HOST,True
narKy,True
SuNe,True
Level,True
cOn,True
img,True
sess,True
TRA,True
SUBMIT,True
UN,True
aeS,True
PlS,True
rho,True
personal,True
wHO,True
ADO,True
SHOW,True
WiG,True
buttons,True
SAL,True
AMy,True
WAb,True
sHi,True
jAIL,True
cdc,True
Less,True
thAW,True
nasdaq,True
Standard,True
mOu,True
Member,True
mob,True
dAB,True
sH,True
KwAN,True
vox,True
wis,True
button,True
dAK,True
reh,True
amin,True
NEO,True
theatlantic,True
weN,True
LUM,True
QUA,True
tORn,True
Kip,True
WOY,True
50,True
ISm,True
Pom,True
FUNCTIONAL,True
latitude,True
YeW,True
10,True
gAT,True
gIO,True
rank,True
wOw,True
Pix,True
Sop,True
kaSM,True
knet,True
v0,True
color,True
aE,True
Nig,True
link,True
yM,True
kef,True
Score,True
folder,True
DoM,True
Aba,True
sIR,True
american,True
ANA,True
dark,True
RUx,True
keb,True
kOa,True
SAx,True
operator,True
amazon,True
JoT,True
DEe,True
Eel,True
MAt,True
Vendor,True
nU,True
EM,True
LieD,True
AVO,True
cloudy,True
tod,True
IF,True
tedge,True
Twa,True
tab,True
xp,True
sA,True
custom,True
FOUND,True
Tup,True
ZA,True
gON,True
TaPa,True
blank,True
MA,True
The,True
